Country,Life expectancy at birth(29),Obesity rate (%) (23),GDP(in USD)(1),Intentional Homicide Rate(4),Democracy index(7),Military expenditures(%GDP)(5),Human developement index(6),Tertiary education(>2years)(8),Meat Consumption kg/person(30),Total Fertility rate (births/woman) (21),Importance of Religion(9),Population Growth Rate UN[5] 2015–20(28),Economic Freedom Score(26),Cigarettes (22),Internet users Pct (24),Median download speed(Mbit/s)(2),Median ages in years combined,Pure Alcohol consumption(Litres)(3),Oil production April 2022(27)
Moldova,73.3,18.9,,3.0,5.78,,0.767,,22.7,1.81,72%,-0.24,59.1,1747.2,100.7,114.01,37.7,15.2,
Seychelles,73.3,14.0,,4.7,,,0.785,,51.1,2.46,,0.5,61.4,543.6,52.3,,36.8,13.8,
Bahamas,73.2,31.6,27478,29.2,,,0.812,,123.6,1.39,,1.01,62.9,438.6,82.4,,32.8,4.4,
Russia,73.2,23.1,,6.8,3.31,4.1,0.822,58.0,51.0,1.49,34%,0.01,58.9,2295.0,89.5,,40.3,11.7,10278370.0
Saint Vincent and the Grenadines,73.2,23.7,,30.7,,,0.751,,79.1,1.8,,0.24,65.8,259.6,69.1,,35.3,8.2,
Bhutan,73.1,6.4,,2.5,5.71,,0.666,,3.0,1.41,,1.18,62.9,,50.0,,29.1,0.6,
Uzbekistan,73.0,16.6,,1.4,2.12,,0.727,,20.7,3.17,51%,1.41,53.3,495.9,49.0,,30.1,2.7,34379.0
Ukraine,73.0,24.1,,3.8,5.81,34.0,0.773,,32.3,1.16,46%,-0.49,52.3,1849.4,65.6,,41.2,8.6,6672.0
Morocco,73.0,26.1,,1.9,5.04,,0.683,,20.6,2.33,97%,1.26,62.9,682.3,59.5,,29.1,0.6,25.0
Grenada,72.9,21.3,,4.0,,,0.795,,97.0,2.0,,0.46,,158.2,51.1,,33.3,9.3,
Dominican Republic,72.8,27.6,,10.5,6.32,,0.767,,37.8,2.27,87%,1.07,61.0,218.9,62.9,,27.9,6.9,
Syria,72.7,27.8,,2.1,1.43,,0.577,,21.2,2.75,89%,0.2,,2291.7,29.3,,23.5,0.3,85742.0
North Korea,72.6,6.8,,,1.08,,,,10.8,1.81,,0.47,5.9,993.3,,,34.6,3.9,
Tonga,72.6,48.2,,1.0,,,0.745,,,3.24,,0.86,57.7,986.9,42.0,,24.1,1.5,
Iraq,72.4,30.4,,9.4,3.62,,0.686,,,3.5,84%,2.78,,1184.4,43.4,,21.2,0.4,4470506.0
Bolivia,72.1,20.2,,3.5,5.08,,0.692,,50.0,2.62,89%,1.47,42.3,291.6,40.1,,25.3,4.8,28460.0
Guatemala,72.0,21.2,,20.0,4.97,,0.627,,23.8,2.4,88%,1.94,62.6,111.8,66.7,,23.2,2.4,6188.0
Honduras,71.9,21.4,,38.2,5.36,,0.621,,24.7,2.36,,1.63,60.2,469.8,29.0,,24.4,4.0,
Egypt,71.8,32.0,,1.3,2.93,,0.731,,22.5,2.92,97%,1.87,52.5,1449.4,69.2,,24.1,0.4,567652.0
Suriname,71.5,26.4,,5.7,6.82,,0.73,,40.3,2.35,,0.87,48.1,511.7,45.0,,31.0,5.1,14000.0
Azerbaijan,71.4,19.9,,1.9,2.68,,0.745,,15.9,1.52,50%,0.98,65.4,1525.6,75.3,,32.6,0.8,666869.0
Indonesia,71.3,6.9,,0.6,6.3,0.7,0.705,11.0,8.3,2.17,99%,1.05,65.8,1675.5,78.8,,31.1,0.8,610532.0
Nepal,70.9,4.1,,2.3,5.22,,0.602,,10.0,2.03,93%,1.09,53.8,511.6,53.9,,25.3,2.0,
India,70.8,3.9,,2.9,6.61,2.4,0.633,,5.2,2.03,90%,1.1,55.2,89.3,62.6,,28.7,5.7,607890.0
Samoa,70.5,47.3,,6.2,,,0.707,,82.6,3.93,,0.65,62.2,1470.6,30.2,,25.6,2.5,
Philippines,70.4,6.4,,4.3,6.56,,0.699,,31.1,2.75,96%,1.51,63.8,1132.2,64.1,,24.1,6.6,925.0
Sao Tome and Principe,70.4,12.4,,,,,0.618,,9.6,3.82,,2.18,54.0,,27.4,,19.3,,
Cambodia,70.1,3.9,,1.8,3.1,,0.593,,13.9,2.34,96%,1.49,57.8,726.2,32.8,,26.4,6.7,
Turkmenistan,69.7,18.6,,1.1,1.72,,0.745,,41.7,2.67,80%,1.61,48.4,962.1,19.3,,29.2,5.4,195109.0
Timor-Leste,69.6,3.8,,,,,,,41.3,3.15,,2.14,44.2,,27.0,,19.6,,14000.0
Tajikistan,69.5,14.2,,0.9,1.94,,0.685,,8.7,3.19,85%,2.06,55.6,361.1,20.1,,25.3,3.3,316.0
Myanmar,69.1,5.8,,28.4,3.04,,0.585,,10.7,2.15,,0.9,53.6,226.5,44.0,,29.2,4.8,7400.0
Rwanda,69.1,5.8,,3.6,3.1,,0.534,,4.4,3.82,95%,2.36,71.1,94.0,19.7,,19.7,9.0,
Sudan,69.1,6.6,,,2.54,,0.508,,21.0,4.46,93%,2.38,47.7,339.9,27.4,,18.3,0.5,64880.0
Ethiopia,68.7,4.5,,8.6,3.38,,0.498,,7.9,4.16,,2.43,53.6,115.3,16.2,,19.8,2.8,
