,Country/Territory,"GDP (in US$) per capita by country, United Nations, estimate","Fixed broadband, Average download speed (Mbit/s) (Ookla)","Recorded per capita consumption of pure alcohol (litres) per adult 15 years of age and over per year, 2016",intentional homicide rate,% of GDP,HDI 2021 data (2022 report),Democracy index: 2020,"('Ages 25–34:\xa0% equivalent to a degree course lasting at least:', '2 years')",% Yes for importance of religion,% Christian,Muslim percentage of total population,% Buddhist,% Jewish,"2020 mortality rate, under-5 (per 1000 live births)",Age of criminal responsability reduced,Minimum wage annual in US$,External Debt by % of GDP,World Bank Gini %,Total health spending per capita in PPP international dollars. Not inflation-adjusted,"Suicide rates by gender and country (age-standardized, per 100,000 population, World Health Organization, 2019)[",Fertility rate in 2019 (births/woman),"Annual Cigarette Consumption per person aged 15 or older, 2016","Obesity rates by country (The World Factbook – Central Intelligence Agency, 2016)",% of Internet users,Median age in year 2020 combined M and F,"2019 Economic Freedom of the World Index, score",Oil production April 2022 (bbl/day)[1],population growth rate UN 2015-2020,"List by the World Health Organization (2019), Life expectancy at birth, All","meat consumption per capita, kg/person 2002","Incarceration rates per 100,000 from World  Prison Brief",literacy rate UN member states elderly 65+,age at first marriage Women,Expenditure on education (% of GDP),Homeless per 10k,Milk consumption 2013 (kg/capita/yr) [1],Scientific publications per capita (per million),Total books published per year,Average daily dietary energy consumption kilocalories,Average yearly temperature (1961–1990 Celsius)
65,Cuba,11255.0,,6.1,4.4,,0.764,2.84,,,,0.1,0.0,,5.1,16.0,44.0,34.0,,,10.2,1.6,233.5,24.6,50.09567914066806,42.1,27.8,32079.0,0.06,73.68,32.2,794.0,99.2,21.3,12.9,,99.94,187.0,728.0,3344.0,25.2
67,Cyprus,32281.0,50.46,10.8,1.3,,0.896,7.56,,75.0,,25.3,0.2,,2.8,14.0,,849.0,31.7,,3.2,1.3,1961.4,21.8,76.54542561092053,37.9,68.1,,0.78,81.2,131.3,103.0,93.8,29.6,6.4,,113.31,4087.0,930.0,3019.0,18.45
68,Czechia,26809.0,85.89,14.4,0.4,,0.889,7.67,31.0,,,,0.0,,2.9,15.0,9959.0,61.47,26.2,3129.0,9.5,1.7,2427.9,26.0,79.52550678823997,43.3,73.7,1687.0,0.06,77.37,77.3,187.0,,29.8,5.6,22.0,195.2,2358.0,16474.0,3277.0,7.55
69,Denmark,68037.0,210.71,10.4,0.8,1.2,0.948,9.15,44.0,19.0,,5.4,0.2,,3.6,15.0,,119.0,27.5,5307.0,7.6,1.8,1298.0,19.7,92.36515756101561,42.0,76.7,64791.0,0.38,81.4,145.9,72.0,,32.7,7.6,9.8,277.3,5110.0,10715.0,3401.0,6.95
72,Djibouti,3348.0,,0.5,,,0.509,2.71,,96.0,,97.0,,,55.9,13.0,,71.0,41.6,,11.9,2.7,785.5,13.5,48.19733401353345,24.9,47.1,,1.51,62.3,17.1,71.0,,26.9,8.4,,59.81,36.0,,2694.0,28.0
73,Dominica,7571.0,37.62,8.2,13.8,,0.72,,,,,0.2,0.1,,35.4,,3081.0,55.0,,,,1.8,147.4,27.9,71.07523614870463,34.9,63.6,,0.51,72.81,67.1,316.0,,,3.4,,136.93,292.0,,2952.0,22.35
74,Dominican Republic,8477.0,,6.9,10.5,,0.767,6.32,,87.0,,0.0,0.0,,33.8,,2613.0,36.0,38.5,,5.1,2.3,218.9,27.6,62.938945246091585,27.9,61.0,,1.07,72.61,37.8,222.0,79.8,,4.3,,73.75,33.0,1866.0,2892.0,24.55
76,Timor-Leste,1517.0,,2.1,4.1,,0.607,7.06,,,,0.1,,,42.3,16.0,1380.0,12.0,28.7,,4.5,3.9,,3.8,26.97741460260935,19.6,44.2,14000.0,2.14,67.74,41.3,55.0,11.2,20.6,3.8,,10.96,31.0,,2287.0,25.25
80,Ecuador,5965.0,,4.4,14.0,,0.74,6.13,,82.0,,0.0,0.0,,13.0,12.0,5850.0,57.0,45.5,,7.7,2.4,93.5,19.9,53.49587984135287,28.8,46.9,479518.0,1.42,73.67,45.0,167.0,77.7,21.8,5.0,,139.6,308.0,4153.0,2606.0,21.85
81,Egypt,3898.0,39.66,0.4,1.3,,0.731,2.93,,97.0,,,0.0,,19.5,12.0,,42.72,31.9,,3.4,3.3,1449.4,32.0,69.24628575498467,24.1,52.5,567652.0,1.87,70.22,22.5,116.0,43.2,25.0,3.8,1200.0,59.46,298.0,23000.0,3292.0,22.1
