Countries and territories,2019,2019.1,2019.2,2019.3,2021,2021.1,2021.2,2021.3,2019 →2021
Countries and territories,All,Male,Female,Gender gap,All,Male,Female,Gender gap,2019 →2021
,,,,,,,,,
"Congo, Rep.",64.6,63.1,66.0,2.9,63.5,62.1,64.9,2.8,−1.1
Comoros,64.3,62.6,66.1,3.5,63.4,61.2,65.8,4.6,−0.9
Haiti,64.0,61.8,66.2,4.4,63.2,60.4,66.1,5.7,−0.8
Malawi,64.3,61.1,67.4,6.3,62.9,59.5,66.5,7.0,−1.4
Uganda,63.4,61.0,65.6,4.6,62.7,60.4,64.9,4.5,−0.7
Djibouti,67.1,65.1,69.4,4.3,62.3,59.7,65.0,5.3,−4.8
South Africa,64.1,60.7,67.7,7.0,62.3,59.5,65.0,5.5,−1.8
Gambia,62.1,60.7,63.5,2.8,62.1,60.7,63.5,2.8,0.0
Afghanistan,64.8,63.4,66.4,3.0,62.0,58.9,65.3,6.4,−2.8
Burundi,61.6,59.8,63.4,3.6,61.7,59.7,63.6,3.9,0.1
Togo,61.0,60.2,61.9,1.7,61.6,60.8,62.4,1.6,0.6
Niger,62.4,61.3,63.6,2.3,61.6,60.4,62.8,2.4,−0.8
Angola,61.2,58.4,64.0,5.6,61.6,59.0,64.3,5.3,0.4
Kenya,66.7,64.3,69.0,4.7,61.4,58.9,64.1,5.2,−5.3
Zambia,63.9,60.8,66.9,6.1,61.2,58.5,63.9,5.4,−2.7
Botswana,69.6,66.5,72.4,5.9,61.1,58.7,63.6,4.9,−8.5
Liberia,64.1,62.7,65.5,2.8,60.7,59.4,62.1,2.7,−3.4
Equatorial Guinea,58.7,57.7,59.9,2.2,60.6,58.8,62.7,3.9,1.9
Cameroon,59.3,58.0,60.6,2.6,60.3,58.7,62.0,3.3,1.0
Sierra Leone,54.7,53.9,55.5,1.6,60.1,58.8,61.4,2.6,5.4
Benin,61.8,60.2,63.3,3.1,59.8,58.2,61.4,3.2,−2.0
Guinea-Bissau,58.3,56.3,60.2,3.9,59.7,57.4,61.8,4.4,1.4
Burkina Faso,61.6,60.7,62.3,1.6,59.3,57.5,61.0,3.5,−2.3
Mozambique,60.9,57.8,63.7,5.9,59.3,56.2,62.4,6.2,−1.6
Zimbabwe,61.5,59.8,62.9,3.1,59.3,56.2,62.0,5.8,−2.2
Namibia,63.7,60.7,66.5,5.8,59.3,55.7,63.0,7.3,−4.4
DR Congo,60.7,59.1,62.2,3.1,59.2,57.0,61.5,4.5,−1.5
Mali,59.3,58.5,60.1,1.6,58.9,57.6,60.3,2.7,−0.4
Guinea,61.6,60.9,62.1,1.2,58.9,57.6,60.1,2.5,−2.7
Cote d'Ivoire,57.8,56.6,59.1,2.5,58.6,57.4,59.9,2.5,0.8
Eswatini,60.2,56.0,64.8,8.8,57.1,53.4,61.2,7.8,−3.1
Somalia,57.4,55.7,59.1,3.4,55.3,53.2,57.4,4.2,−2.1
South Sudan,57.9,56.4,59.4,3.0,55.0,53.4,56.5,3.1,−2.9
Central African Republic,53.3,51.1,55.5,4.4,53.9,51.6,56.3,4.7,0.6
Lesotho,54.3,51.2,57.6,6.4,53.1,50.4,55.9,5.5,−1.2
Nigeria,54.7,53.8,55.6,1.8,52.7,52.3,53.1,0.8,−2.0
Chad,54.2,52.8,55.7,2.9,52.5,50.8,54.3,3.5,−1.7
