Country (or territory),CIA[2][3],CIA[2][3].1,WB[4] 2009,UN[5] 2005–10,UN[5] 2010–15,UN[5] 2015–20
,.mw-parser-output .nobold{font-weight:normal}(%),Year,,,,
,,,,,,
United Kingdom *,0.49,2023,0.75,0.98,0.65,0.58
United States *,0.68,2023,0.74,0.9,0.72,0.71
Uruguay *,0.27,2023,0.35,0.29,0.34,0.36
Uzbekistan *,0.81,2023,1.47,1.52,1.59,1.41
Vanuatu *,1.59,2023,2.24,2.42,2.26,2.1
Vatican City *,0.00,2014,,0.03,0.03,0.08
Venezuela *,2.40,2023,1.53,1.61,1.41,1.26
Vietnam *,0.93,2023,1.06,0.96,1.12,1.0
Western Sahara * (Sahrawi),,,,1.87,1.83,2.54
Yemen *,1.83,2023,2.33,2.74,2.62,2.33
Zambia *,2.86,2023,3.19,2.78,3.01,2.97
Zimbabwe *,1.95,2023,2.7,1.7,2.27,2.28
Anguilla * (UK),1.77,2023,,1.71,1.19,
Aruba * (Netherlands),1.11,2023,0.44,0.31,0.45,
Bermuda * (UK),0.32,2023,0.37,-0.36,-0.62,
Caribbean Netherlands,,,,7.49,3.43,
Cayman Islands * (UK),1.79,2023,1.7,2.65,1.55,
Channel Islands (UK)[e],,,0.51,0.67,0.51,
Christmas Island * (Australia),1.11,2014,,,,
Cook Islands * (NZ),-2.31,2023,,0.89,0.53,
Curaçao * (Netherlands),,,0.73,2.63,1.26,
Faroe Islands * (Denmark),0.63,2023,,-0.59,0.33,
Falkland Islands *,0.01,2014,-0.09,0.1,-0.15,
Gibraltar * (UK),0.19,2023,,1.11,0.94,
Greenland * (Denmark),-0.04,2023,-0.11,-0.14,-0.13,
Guadeloupe * (France),,,,0.27,0.5,
Guam * (USA),0.13,2023,1.21,0.13,1.27,
French Guiana *,,,,2.78,2.78,
Hong Kong *,0.15,2023,1.17,0.44,0.83,
Isle of Man * (UK),0.48,2023,0.74,0.97,0.8,
Kosovo *,0.62,2023,0.86,,,
Macau *,0.71,2023,1.9,2.66,1.89,
Martinique * (France),,,,-0.12,0.09,
Mayotte * (France),,,,3.17,2.79,
Montserrat * (UK),0.46,2023,,0.72,0.68,
New Caledonia * (France),1.17,2023,1.6,1.49,1.32,
Niue * (New Zealand),-0.03,2023,,-0.79,-0.14,
Norfolk Island * (Australia),0.01,2014,,0.01,,
Northern Mariana Islands * (USA),-0.35,2023,0.14,-3.57,0.44,
Pitcairn Islands * (UK),0.00,2014,,,,
French Polynesia *,0.70,2023,1.08,1.01,1.07,
Puerto Rico * (USA),-1.29,2023,-0.73,-0.28,-0.14,
Réunion * (France),,,,0.96,0.73,
"Saint Helena, Ascension and Tristan da Cunha * (UK)",0.11,2023,,-0.48,-1.04,
Saint Pierre and Miquelon * (France),-1.19,2023,,0.05,0.05,
American Samoa *,-1.74,2023,-0.26,-1.21,-0.04,
Sint Maarten * (Netherlands),1.19,2023,,0.36,3.13,
Svalbard * (Norway),-0.03,2019,,,,
Tokelau * (NZ),-0.01,2019,,-1.28,1.93,
Turks and Caicos Islands * (UK),1.81,2023,2.19,3.17,2.05,
British Virgin Islands *,1.87,2023,,3.23,2.02,
U.S. Virgin Islands *,-0.49,2023,-0.48,-0.26,-0.02,
Wallis and Futuna * (France),0.23,2023,,-0.98,-0.62,
West Bank *,1.66,2023,,,,
Gaza Strip *,1.99,2023,,,,
